id,user,uid,version,changeset,timestamp
15450475,bdiscoe,402624,3,35119225,2015-11-06T07:02:43Z
15456528,bdiscoe,402624,3,39323751,2016-05-15T03:29:23Z
15503366,DaveHansenTiger,7168,1,156357,2007-12-07T11:20:37Z
15503665,Minh Nguyen,33757,5,42017822,2016-09-09T06:09:22Z
15503914,Omnific,1408522,2,46484488,2017-03-01T04:34:31Z
15504152,DaveHansenTiger,7168,1,156357,2007-12-07T11:28:35Z
15504388,DaveHansenTiger,7168,1,156357,2007-12-07T11:30:55Z
15504593,DaveHansenTiger,7168,1,156621,2007-12-07T11:32:39Z
15504848,DaveHansenTiger,7168,1,156621,2007-12-07T11:34:50Z
15505083,DaveHansenTiger,7168,1,156621,2007-12-07T11:37:00Z
15505313,DaveHansenTiger,7168,1,156621,2007-12-07T11:38:32Z
15505529,Omnific,1408522,3,20741316,2014-02-23T21:47:54Z
15505729,hofoen,52797,6,47619516,2017-04-10T11:35:13Z
15505968,Minh Nguyen,33757,4,41995844,2016-09-08T07:16:17Z
15506147,kriscarle,1323363,5,36788063,2016-01-25T03:04:56Z
15506312,bot-mode,451693,2,14414945,2012-12-26T16:56:32Z
15506606,DaveHansenTiger,7168,1,156621,2007-12-07T11:55:43Z
15506878,81firearms,3783613,4,41295391,2016-08-06T23:07:55Z
15507100,DaveHansenTiger,7168,1,156621,2007-12-07T12:02:13Z
15507340,AndrewSnow,371121,2,18222471,2013-10-07T01:44:15Z
15507538,DaveHansenTiger,7168,1,156621,2007-12-07T12:05:58Z
15507720,elkueb,4210803,3,43275097,2016-10-30T00:25:47Z
15507950,DaveHansenTiger,7168,1,156621,2007-12-07T12:09:25Z
15508174,DaveHansenTiger,7168,1,157193,2007-12-07T12:11:09Z
15508408,yurasi,3526564,2,40018461,2016-06-14T14:22:42Z
15508629,Omnific,1408522,2,37451943,2016-02-26T04:01:49Z
15508849,DaveHansenTiger,7168,1,157193,2007-12-07T12:16:36Z
15509101,DaveHansenTiger,7168,1,157193,2007-12-07T12:18:43Z
15509308,DaveHansenTiger,7168,1,157193,2007-12-07T12:20:53Z
15509617,bot-mode,451693,2,14363041,2012-12-22T07:59:23Z
15509886,DaveHansenTiger,7168,1,157193,2007-12-07T12:26:44Z
15510172,bot-mode,451693,2,14501221,2013-01-02T15:21:57Z
15510405,bot-mode,451693,2,14960567,2013-02-08T21:20:11Z
15510641,bot-mode,451693,2,14501221,2013-01-02T15:22:09Z
