id,key,value,type
15450475,access,private,regular
15450475,highway,service,regular
15450475,cfcc,A74,tiger
15450475,county,Dickenson,addr
15450475,state,VA,addr
15450475,reviewed,no,tiger
15456528,highway,service,regular
15456528,cfcc,A41,tiger
15456528,county,Dickenson,addr
15456528,state,VA,addr
15456528,reviewed,no,tiger
15503366,access,private,regular
15503366,highway,service,regular
15503366,cfcc,A74,tiger
15503366,tlid,78555792,tiger
15503366,county,Boone,addr
15503366,state,WV,addr
15503366,source,tiger_import_dch_v0.6_20070828,tiger
15503366,reviewed,no,tiger
15503366,upload_uuid,bulk_upload.pl-4a4be087-b7de-467f-a67d-2e4d33934958,tiger
15503665,power,line,regular
15503665,cfcc,C20,tiger
15503665,county,Boone,addr
15503665,state,WV,addr
15503665,reviewed,no,tiger
15503914,name,River Way,regular
15503914,highway,residential,regular
15503914,cfcc,A41,tiger
15503914,county,Boone,addr
15503914,state,WV,addr
15503914,reviewed,no,tiger
15504152,highway,residential,regular
15504152,cfcc,A41,tiger
15504152,tlid,78552981:78552982:78552975:78552976,tiger
15504152,county,Boone,addr
15504152,state,WV,addr
15504152,source,tiger_import_dch_v0.6_20070828,tiger
15504152,reviewed,no,tiger
15504152,separated,no,tiger
15504152,upload_uuid,bulk_upload.pl-4a4be087-b7de-467f-a67d-2e4d33934958,tiger
15504388,highway,residential,regular
15504388,cfcc,A41,tiger
15504388,tlid,78553817,tiger
15504388,county,Boone,addr
15504388,state,WV,addr
15504388,source,tiger_import_dch_v0.6_20070828,tiger
15504388,reviewed,no,tiger
15504388,separated,no,tiger
15504388,upload_uuid,bulk_upload.pl-4a4be087-b7de-467f-a67d-2e4d33934958,tiger
15504593,highway,residential,regular
15504593,cfcc,A41,tiger
15504593,tlid,78555535,tiger
15504593,county,Boone,addr
15504593,state,WV,addr
15504593,source,tiger_import_dch_v0.6_20070828,tiger
15504593,reviewed,no,tiger
15504593,separated,no,tiger
15504593,upload_uuid,bulk_upload.pl-4a4be087-b7de-467f-a67d-2e4d33934958,tiger
15504848,highway,residential,regular
15504848,cfcc,A41,tiger
15504848,tlid,78543820,tiger
15504848,county,Boone,addr
15504848,state,WV,addr
15504848,source,tiger_import_dch_v0.6_20070828,tiger
15504848,reviewed,no,tiger
15504848,separated,no,tiger
15504848,upload_uuid,bulk_upload.pl-4a4be087-b7de-467f-a67d-2e4d33934958,tiger
15505083,highway,residential,regular
15505083,cfcc,A41,tiger
15505083,tlid,78555196,tiger
15505083,county,Boone,addr
15505083,state,WV,addr
15505083,source,tiger_import_dch_v0.6_20070828,tiger
15505083,reviewed,no,tiger
15505083,separated,no,tiger
15505083,upload_uuid,bulk_upload.pl-4a4be087-b7de-467f-a67d-2e4d33934958,tiger
15505313,highway,residential,regular
15505313,cfcc,A41,tiger
15505313,tlid,78543552:78543553,tiger
15505313,county,Boone,addr
15505313,state,WV,addr
15505313,source,tiger_import_dch_v0.6_20070828,tiger
15505313,reviewed,no,tiger
15505313,separated,no,tiger
15505313,upload_uuid,bulk_upload.pl-4a4be087-b7de-467f-a67d-2e4d33934958,tiger
15505529,name,Stollings Street,regular
15505529,highway,residential,regular
15505529,cfcc,A41,tiger
15505529,county,Boone,addr
15505529,state,WV,addr
15505529,reviewed,no,tiger
15505529,name_base,Stollings,tiger
15505529,name_type,Br,tiger
15505729,ref,WV 85,regular
15505729,name,Pond Fork Road,regular
15505729,highway,secondary,regular
15505729,cfcc,A31,tiger
15505729,county,Boone,addr
15505729,state,WV,addr
15505729,reviewed,no,tiger
15505729,name_base,Madison,tiger
15505729,name_type,Ave,tiger
15505729,name_base_1,State Route 85,tiger
15505968,name,Hollow Road,regular
15505968,highway,residential,regular
15505968,cfcc,A41,tiger
15505968,county,Boone,addr
15505968,state,WV,addr
15505968,reviewed,no,tiger
15505968,name_base,Hollow,tiger
15505968,name_type,Rd,tiger
15506147,name,Kenmore Drive,regular
15506147,highway,residential,regular
15506147,cfcc,A41,tiger
15506147,county,Boone,addr
15506147,state,WV,addr
15506147,reviewed,no,tiger
15506147,name_base,Kenmore,tiger
15506147,name_type,Dr,tiger
15506312,name,Epling Hollow Road,regular
15506312,name_1,County Highway 10/3,regular
15506312,highway,residential,regular
15506312,cfcc,A41,tiger
15506312,county,Boone,addr
15506312,state,WV,addr
15506312,reviewed,no,tiger
15506312,name_base,Epling Hollow,tiger
15506312,name_type,Rd,tiger
15506312,name_base_1,County Highway 10/3,tiger
15506606,name,County Highway 14/02,regular
15506606,highway,residential,regular
15506606,cfcc,A41,tiger
15506606,tlid,78545614:78545615,tiger
15506606,county,Boone,addr
15506606,state,WV,addr
15506606,source,tiger_import_dch_v0.6_20070828,tiger
15506606,reviewed,no,tiger
15506606,name_base,County Highway 14/02,tiger
15506606,separated,no,tiger
15506606,upload_uuid,bulk_upload.pl-4a4be087-b7de-467f-a67d-2e4d33934958,tiger
15506878,name,Frame Drive,regular
15506878,oneway,no,regular
15506878,highway,residential,regular
15506878,cfcc,A41,tiger
15506878,county,Braxton,addr
15506878,state,WV,addr
15506878,reviewed,no,tiger
15506878,name_base,Frame,tiger
15506878,name_type,Dr,tiger
15507100,highway,residential,regular
15507100,cfcc,A41,tiger
15507100,tlid,48844914:48833061:48841867,tiger
15507100,county,Braxton,addr
15507100,state,WV,addr
15507100,source,tiger_import_dch_v0.6_20070828,tiger
15507100,reviewed,no,tiger
15507100,separated,no,tiger
15507100,upload_uuid,bulk_upload.pl-dc954c8c-d2d3-4b86-8e51-5f73b741e029,tiger
15507340,access,private,regular
15507340,highway,service,regular
15507340,cfcc,A74,tiger
15507340,county,Braxton,addr
15507340,state,WV,addr
15507340,reviewed,no,tiger
15507538,highway,track,regular
15507538,cfcc,A51,tiger
15507538,tlid,48843550,tiger
15507538,county,Braxton,addr
15507538,state,WV,addr
15507538,source,tiger_import_dch_v0.6_20070828,tiger
15507538,reviewed,no,tiger
